canon39_wrapped_c.json: 610 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (1s)
canon39_regen_store/op_units2_cpp_c0087.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
canon39_regen_store/op_units2_cpp_c0088.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
canon39_regen_store/op_units2_cpp_c0089.json: 61 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
canon39_regen_store/op_units2_cpp_c0090.json: 203 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (35s)
canon39_regen_store/op_units2_cpp_c0091.json: 117 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0092.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0093.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0094.json: 85 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0095.json: 28 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0096.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0097.json: 96 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (36s)
canon39_regen_store/op_units2_cpp_c0098.json: 201 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0099.json: 117 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0100.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0101.json: 113 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0102.json: 84 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0103.json: 28 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0104.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (37s)
canon39_regen_store/op_units2_cpp_c0105.json: 129 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0106.json: 179 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0107.json: 139 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0108.json: 141 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0109.json: 85 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0110.json: 88 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0111.json: 23 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0112.json: 17 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (38s)
canon39_regen_store/op_units2_cpp_c0113.json: 145 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (39s)
canon39_regen_store/op_units2_cpp_c0114.json: 173 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (39s)
canon39_regen_store/op_units2_cpp_c0115.json: 113 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (39s)
canon39_regen_store/op_units2_cpp_c0116.json: 140 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (39s)
canon39_regen_store/op_units2_cpp_c0117.json: 117 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0118.json: 51 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0119.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0120.json: 132 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0121.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0122.json: 132 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0123.json: 104 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0124.json: 6 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0125.json: 38 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0126.json: 160 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0127.json: 127 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0128.json: 93 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0129.json: 93 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0130.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (40s)
canon39_regen_store/op_units2_cpp_c0131.json: 37 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (41s)
canon39_regen_store/op_units2_cpp_c0132.json: 96 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (41s)
canon39_regen_store/op_units2_cpp_c0133.json: 155 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (41s)
canon39_regen_store/op_units2_cpp_c0134.json: 77 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (42s)
canon39_regen_store/op_units2_cpp_c0135.json: 115 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (42s)
canon39_regen_store/op_units2_cpp_c0136.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (42s)
canon39_regen_store/op_units2_cpp_c0137.json: 50 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (43s)
canon39_regen_store/op_units2_cpp_c0138.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (43s)
canon39_regen_store/op_units2_cpp_c0139.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (43s)
canon39_regen_store/op_units2_cpp_c0140.json: 162 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (43s)
canon39_regen_store/op_units2_cpp_c0141.json: 146 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (43s)
canon39_regen_store/op_units2_cpp_c0142.json: 113 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (43s)
canon39_regen_store/op_units2_cpp_c0143.json: 140 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0144.json: 111 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0145.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0146.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0147.json: 56 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0148.json: 194 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0149.json: 115 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (44s)
canon39_regen_store/op_units2_cpp_c0150.json: 140 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0151.json: 142 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0152.json: 92 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0153.json: 17 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0154.json: 27 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0155.json: 171 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0156.json: 116 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (45s)
canon39_regen_store/op_units2_cpp_c0157.json: 104 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (46s)
canon39_regen_store/op_units2_cpp_c0158.json: 66 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (46s)
canon39_regen_store/op_units2_cpp_c0159.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (46s)
canon39_regen_store/op_units2_cpp_c0160.json: 118 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (46s)
canon39_regen_store/op_units2_cpp_c0161.json: 124 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (46s)
canon39_regen_store/op_units2_cpp_c0162.json: 119 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (47s)
canon39_regen_store/op_units2_cpp_c0163.json: 101 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (47s)
canon39_regen_store/op_units2_cpp_c0164.json: 22 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (47s)
canon39_regen_store/op_units2_cpp_c0165.json: 22 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (47s)
canon39_regen_store/op_units2_cpp_c0166.json: 176 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (47s)
canon39_regen_store/op_units2_cpp_c0167.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (48s)
canon39_regen_store/op_units2_cpp_c0168.json: 110 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (48s)
canon39_regen_store/op_units2_cpp_c0169.json: 80 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (48s)
canon39_regen_store/op_units2_cpp_c0170.json: 14 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (48s)
canon39_regen_store/op_units2_cpp_c0171.json: 25 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (48s)
canon39_regen_store/op_units2_cpp_c0172.json: 143 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (48s)
canon39_regen_store/op_units2_cpp_c0173.json: 169 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (49s)
canon39_regen_store/op_units2_cpp_c0174.json: 111 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (49s)
canon39_regen_store/op_units2_cpp_c0175.json: 140 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (49s)
canon39_regen_store/op_units2_cpp_c0176.json: 126 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (49s)
canon39_regen_store/op_units2_cpp_c0177.json: 42 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (49s)
canon39_regen_store/op_units2_go_c0000.json: 317 transcribed, 13 canon39-refused skipped, 0 not banked, 0 disagreements (50s)
canon39_regen_store/op_units2_go_c0001.json: 153 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (50s)
canon39_regen_store/op_units2_rust_c0000.json: 49 transcribed, 4 canon39-refused skipped, 0 not banked, 0 disagreements (50s)
canon39_regen_store/op_units2_rust_c0001.json: 194 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (50s)
canon39_regen_store/op_units2_rust_c0002.json: 296 transcribed, 4 canon39-refused skipped, 0 not banked, 0 disagreements (51s)
canon39_regen_store/op_units2_rust_c0003.json: 12 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (51s)
canon39_regen_store/op_units2_rust_c0004.json: 11 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (51s)
canon39_regen_store/op_units2_swift_c0000.json: 156 transcribed, 25 canon39-refused skipped, 0 not banked, 0 disagreements (51s)
canon39_regen_store/op_units2_swift_c0001.json: 285 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (51s)
canon39_regen_store/op_units2_swift_c0002.json: 221 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0003.json: 105 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0004.json: 134 transcribed, 23 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0005.json: 138 transcribed, 33 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0006.json: 21 transcribed, 1 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0007.json: 12 transcribed, 1 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0008.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0009.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
canon39_regen_store/op_units2_swift_c0010.json: 0 transcribed, 0 canon39-refused skipped, 0 not banked, 0 disagreements (52s)
all 332 shards walked
