WORD FREQUENCY -- the owner's messages, dictionary bucket
unique roots: 2427   total occurrences: 32424
one bar = 10 occurrences, rounded (339 -> round(33.9) -> 34 bars)

root              count  bars
wholesome             2  
wisdom                2  
wish                  2  
yell                  2  
abbreviate            1  
absurd                1  
accountably           1  
activators            1  
adhere                1  
adjacency             1  
advantageous          1  
advertise             1  
afford                1  
aimless               1  
alias                 1  
alongside             1  
alpha                 1  
alphabet              1  
ambiguity             1  
anatomically          1  
anchor                1  
angry                 1  
annihilate            1  
anywhere              1  
arg                   1  
arise                 1  
assemble              1  
asset                 1  
asshole               1  
associate             1  
athlete               1  
attractor             1  
audit                 1  
authoritatively       1  
avenue                1  
aversion              1  
awful                 1  
ax                    1  
background            1  
backup                1  
ban                   1  
basis                 1  
batch                 1  
beat                  1  
belong                1  
beneath               1  
bicep                 1  
bijection             1  
bill                  1  
billions              1  
bisection             1  
bit                   1  
bloat                 1  
blockade              1  
blood                 1  
bogus                 1  
bottle                1  
brace                 1  
brain                 1  
brake                 1  
brand                 1  
breadth               1  
brink                 1  
brittle               1  
brutal                1  
bullshit              1  
bump                  1  
bundle                1  
bust                  1  
busy                  1  
buy                   1  
bypass                1  
calculation           1  
calm                  1  
camel                 1  
camera                1  
candidate             1  
cap                   1  
capacity              1  
career                1  
ceiling               1  
certify               1  
chapter               1  
chew                  1  
christ                1  
chrome                1  
chronological         1  
chute                 1  
circle                1  
clarity               1  
clash                 1  
classic               1  
classification        1  
clobber               1  
closure               1  
codename              1  
codify                1  
coin                  1  
coincidentally        1  
comb                  1  
compact               1  
complement            1  
compose               1  
comprehend            1  
compromise            1  
conceive              1  
conflation            1  
confront              1  
consequence           1  
consolidate           1  
conspicuous           1  
consult               1  
consume               1  
contextual            1  
continuous            1  
contradict            1  
contribute            1  
convoluted            1  
coordination          1  
corporate             1  
corpus                1  
correlation           1  
correspond            1  
counterfactual        1  
craft                 1  
credit                1  
crowd                 1  
crush                 1  
culprit               1  
culture               1  
curve                 1  
danger                1  
dash                  1  
deadlock              1  
debate                1  
debugger              1  
decade                1  
dedicate              1  
dee                   1  
delay                 1  
deletion              1  
delimiter             1  
deposit               1  
descriptive           1  
destruction           1  
devastate             1  
diagnosis             1  
dictate               1  
differentiate         1  
diligent              1  
dimension             1  
director              1  
disambiguate          1  
disaster              1  
disconnections        1  
dishonesty            1  
distract              1  
distribution          1  
dive                  1  
divert                1  
dollar                1  
dormant               1  
doubly                1  
downwards             1  
dubious               1  
dump                  1  
durable               1  
earn                  1  
earth                 1  
economically          1  
education             1  
efficaciously         1  
efficaciousness       1  
elaborate             1  
elevation             1  
elimination           1  
emotionally           1  
emphasize             1  
encode                1  
endlessly             1  
engine                1  
english               1  
enhance               1  
enjoy                 1  
enrich                1  
enshrine              1  
enthusiastic          1  
envision              1  
equate                1  
erase                 1  
erroneous             1  
escalation            1  
escape                1  
estimation            1  
everyone              1  
evolutionary          1  
exceed                1  
exceedingly           1  
excessive             1  
exotic                1  
expansive             1  
exponent              1  
export                1  
exposure              1  
expunge               1  
extensive             1  
eyeball               1  
falsehood             1  
fantastic             1  
fart                  1  
fascia                1  
feasible              1  
fib                   1  
fight                 1  
figuratively          1  
finding               1  
flabbergast           1  
flaw                  1  
flowery               1  
fly                   1  
foreseeable           1  
forgiveness           1  
formatter             1  
formulate             1  
fox                   1  
frivolous             1  
fruit                 1  
fun                   1  
furious               1  
fusion                1  
garbage               1  
garble                1  
gat                   1  
gather                1  
gear                  1  
generation            1  
genius                1  
giant                 1  
glad                  1  
glossary              1  
glue                  1  
google                1  
gotcha                1  
grace                 1  
gradually             1  
grateful              1  
gratitude             1  
guide                 1  
halt                  1  
happy                 1  
heavily               1  
height                1  
hell                  1  
hemisphere            1  
hesitate              1  
hmm                   1  
hog                   1  
homie                 1  
honor                 1  
horizon               1  
horribly              1  
horrific              1  
host                  1  
illusion              1  
illusory              1  
immense               1  
imminent              1  
impact                1  
implication           1  
impressive            1  
inarguable            1  
inch                  1  
incident              1  
incidental            1  
incompetence          1  
inconsiderate         1  
inconsistency         1  
industrially          1  
industry              1  
inf                   1  
infuriate             1  
ing                   1  
ingestion             1  
inject                1  
innovation            1  
insanely              1  
insolate              1  
instinct              1  
insulate              1  
integration           1  
integrity             1  
intently              1  
interior              1  
interleave            1  
intermittently        1  
interruption          1  
intersect             1  
intuition             1  
inverse               1  
investment            1  
invocation            1  
inwards               1  
ironic                1  
irritation            1  
isolation             1  
jerk                  1  
jesus                 1  
join                  1  
kick                  1  
kiss                  1  
kosher                1  
lag                   1  
lateral               1  
latter                1  
law                   1  
lay                   1  
leftover              1  
legacy                1  
lego                  1  
len                   1  
lenient               1  
letter                1  
liable                1  
license               1  
lighten               1  
lightweight           1  
linear                1  
link                  1  
listen                1  
litmus                1  
litter                1  
logistics             1  
longitude             1  
loss                  1  
loud                  1  
lowercase             1  
mac                   1  
machinery             1  
maestro               1  
magic                 1  
magnificent           1  
maker                 1  
malicious             1  
margin                1  
math                  1  
mathematics           1  
mega                  1  
meta                  1  
mild                  1  
mile                  1  
minor                 1  
mir                   1  
miraculously          1  
misalignment          1  
miserably             1  
mission               1  
mistakenly            1  
modern                1  
momentarily           1  
monitor               1  
monkey                1  
monotonic             1  
morning               1  
moron                 1  
motion                1  
motivation            1  
mount                 1  
mountain              1  
mutate                1  
mutually              1  
nail                  1  
naively               1  
nan                   1  
neat                  1  
necessity             1  
nerve                 1  
net                   1  
network               1  
neural                1  
neutral               1  
neutron               1  
nicety                1  
nightmare             1  
nil                   1  
nope                  1  
numerous              1  
nut                   1  
obsidian              1  
obsolete              1  
obstruct              1  
occupant              1  
odds                  1  
offer                 1  
opponent              1  
ops                   1  
orchid                1  
originate             1  
oscillate             1  
outer                 1  
outermost             1  
outstanding           1  
outwards              1  
overall               1  
oversee               1  
overwhelm             1  
page                  1  
painfully             1  
panic                 1  
paper                 1  
paranoid              1  
parenthesis           1  
paste                 1  
pay                   1  
pen                   1  
perceive              1  
permanently           1  
persistent            1  
pertain               1  
pervasive             1  
philosophy            1  
physical              1  
picture               1  
ping                  1  
placeholder           1  
plot                  1  
plural                1  
police                1  
pong                  1  
pop                   1  
portable              1  
portion               1  
portray               1  
pose                  1  
post                  1  
pow                   1  
preemptively          1  
preliminarily         1  
presumably            1  
prime                 1  
pristine              1  
production            1  
professional          1  
programmable          1  
programmer            1  
prohibitive           1  
projection            1  
promote               1  
protectively          1  
ps                    1  
pseudo                1  
purge                 1  
qualifier             1  
quantitative          1  
quantity              1  
queue                 1  
quiz                  1  
radiate               1  
rage                  1  
rank                  1  
rapid                 1  
ratio                 1  
rationale             1  
re                    1  
realistic             1  
reassignment          1  
reconcile             1  
recording             1  
recover               1  
rectangle             1  
region                1  
regress               1  
regression            1  
release               1  
relieve               1  
remainder             1  
renew                 1  
repeat                1  
resilient             1  
resistant             1  
restrict              1  
rigor                 1  
rollin                1  
rung                  1  
runner                1  
runway                1  
sara                  1  
sb                    1  
scenario              1  
scrap                 1  
screw                 1  
scrim                 1  
secret                1  
seek                  1  
seemingly             1  
selection             1  
setup                 1  
shake                 1  
shallow               1  
sharpen               1  
shift                 1  
shortcut              1  
shorthand             1  
shortsighted          1  
shrivel               1  
shush                 1  
sig                   1  
silly                 1  
silo                  1  
singular              1  
situation             1  
skim                  1  
slash                 1  
slave                 1  
slime                 1  
slip                  1  
slowdown              1  
smart                 1  
sniff                 1  
snowball              1  
someway               1  
somewhat              1  
spam                  1  
specialty             1  
speculation           1  
sphere                1  
spiral                1  
spline                1  
spoon                 1  
square                1  
stability             1  
stance                1  
standalone            1  
stare                 1  
steal                 1  
steel                 1  
stellar               1  
storage               1  
story                 1  
strange               1  
straw                 1  
stray                 1  
strength              1  
stumble               1  
sub                   1  
subjective            1  
subscribe             1  
sudoku                1  
suffix                1  
sugar                 1  
suggestion            1  
sunday                1  
superficially         1  
superior              1  
supervisor            1  
suppress              1  
surprisingly          1  
survey                1  
survive               1  
suspect               1  
suspicion             1  
swear                 1  
sweat                 1  
sweep                 1  
swing                 1  
synthesis             1  
systematically        1  
tabbing               1  
tank                  1  
tape                  1  
tar                   1  
tb                    1  
teach                 1  
tear                  1  
technique             1  
tedious               1  
template              1  
temporal              1  
tendon                1  
tens                  1  
tense                 1  
terminator            1  
territory             1  
textual               1  
th                    1  
thankfully            1  
thin                  1  
third                 1  
threaten              1  
tighten               1  
timer                 1  
today                 1  
tractability          1  
traditional           1  
transcript            1  
trap                  1  
trash                 1  
travel                1  
trim                  1  
twist                 1  
ultra                 1  
umbrella              1  
unacceptable          1  
unaffected            1  
unannotated           1  
unapproved            1  
unconfirmed           1  
undefined             1  
undeveloped           1  
unexamined            1  
ungraded              1  
unhidden              1  
uniform               1  
uninformative         1  
unknowingly           1  
unpack                1  
unsuccessful          1  
unsupported           1  
upon                  1  
urgency               1  
usable                1  
utility               1  
utilize               1  
val                   1  
vanish                1  
vary                  1  
vehicle               1  
venture               1  
verge                 1  
vestigial             1  
viability             1  
video                 1  
violation             1  
volume                1  
vulnerable            1  
war                   1  
warrant               1  
wave                  1  
weather               1  
weed                  1  
wheelhouse            1  
whichever             1  
whoa                  1  
widen                 1  
wild                  1  
winner                1  
withdraw              1  
wool                  1  
workspace             1  
year                  1  
zoom                  1  
